student_id,department,year_level,gpa,avg_cs_grade,programming_languages,frameworks_tools,interests,preferred_difficulty,past_projects,num_past_projects,past_project_grades
STU-0011,Software Engineering,4,3.91,3.54,"HTML, CSS, JavaScript, Python","Webpack, Git, React, Jest","progressive web apps, testing, API development",Hard,Statistical Anomaly Detection Framework for Cybersecurity Applications; Government Budget Planning and Execution; Citizen Services Platform for Public Services Delivery; PDF Viewer for PDF Document Viewing,4,3.17; 3.9; 3.75; 4.27
STU-0012,Information Technology,3,2.6,2.2,"Go, C, Bash, Python","Kubernetes, Helm, Podman, Azure Blob","containerization, storage systems",Easy,Event-Driven Architecture Implementation for Reactive Systems; Automated Deployment Framework for Release Management; Service Mesh Implementation for Distributed Service Communication; Hypervisor Performance Monitoring and Tuning System,4,2.61; 2.94; 2.96; 2.63
STU-0013,Cybersecurity,4,2.71,2.44,"Bash, Linux, Python","Elasticsearch, Requests, MISP, Wireshark, Linux","threat intelligence, penetration testing",Easy,Refund Fraud Prevention System for Business Protection; Data Breach Notification Automation System; Application Behavior Analysis for Malware Detection and Behavioral Blocking,3,2.74; 2.87; 2.34
STU-0014,Information Technology,4,2.46,2.12,"C, Bash, Python","Energy Monitoring, Docker, Linux, Raspberry Pi","green IT, IoT",Easy,Cooling Water Efficiency Framework; Database Replication Architecture for High Availability; Infrastructure Rollback Automation for Failed Deployments,3,2.44; 1.99; 2.95
STU-0015,Information Technology,3,1.65,1.74,"Go, C++, Bash, Python","Terraform, Jenkins, Ansible, Pulumi, TensorFlow Lite, Docker, ONNX Runtime, Linux","infrastructure automation, edge computing, networking",Medium,Data Destruction and Certification; Rainwater Harvesting System for IT Facilities; Multi-Master Replication System,3,1.34; 1.75; 1.94
STU-0016,Software Engineering,4,2.77,2.8,"Go, JavaScript, Python","Kubernetes, Terraform, Git, Selenium, Jest","cloud computing, testing, e-commerce",Medium,Conference Bridge for Multiparty Conferencing; Phone Call Integration for VoIP Integration,2,2.62; 2.9
STU-0017,Information Technology,3,3.17,2.79,"Go, Bash, Python","Kubernetes, Helm, Podman, Docker","containerization, edge computing, database administration",Medium,Data Destruction and Certification; Rate Limiter for Request Rate Control; IT Equipment Energy Audit Tool; Fog Computing Architecture for Intermediate Processing,4,3.23; 3.41; 2.94; 2.61
STU-0018,Information Systems,3,3.0,3.28,"Java, SQL, R","Excel, Pandas, Activiti, Scikit-learn, Tableau","decision support, business process management",Medium,Working Capital Optimization for Cash Flow; Reference Data Management System for Organizational Standards; Bottleneck Analysis Framework for Process Improvement,3,3.27; 3.3; 2.68
STU-0019,Information Technology,3,3.28,3.17,"Go, C++, Bash, Python","Kubernetes, Terraform, GCP, AWS, Ansible, Docker","cloud infrastructure, edge computing, system administration",Easy,Sustainability Metrics Dashboard; Vendor Sustainability Performance Tracking; Cloud Resource Tagging and Governance,3,3.62; 3.33; 3.17
STU-0020,Information Technology,3,2.88,3.15,"C++, Bash, Python","Kubernetes, Hyper-V, KVM, TensorFlow Lite","virtualization, edge computing",Medium,Edge Computing Platform for Distributed Processing; Incremental Backup Framework for Efficient Storage; API Gateway with Authentication and Rate Limiting,3,3.09; 3.21; 2.8
STU-0021,Information Technology,3,3.06,3.06,"Go, Bash, Python","Kubernetes, Helm, Podman, Docker, Linux, Embedded Systems","containerization, IoT",Medium,Virtual Machine Resource Allocation and Optimization; Secure IoT Communication Protocol for Encrypted Messaging; Developer Experience Measurement Framework; Queue Management for Message Queuing,4,3.01; 3.47; 3.05; 4.24
STU-0022,Computer Science,3,3.82,3.66,"R, Python","Pandas, Git, Scikit-learn, NumPy","data mining, quantum computing, natural language processing",Easy,Event Extraction Framework for Temporal Information and Timeline Generation; Quantum Machine Learning Application; Coreference Resolution System for Text Understanding and Anaphora Resolution; LIME Implementation for Local Model Explanation and Prediction,4,3.93; 4.03; 4.03; 4.03
STU-0023,Computer Science,3,3.01,2.78,Python,"PyTorch, Git, OpenAI Gym, SpaCy, Docker","reinforcement learning, natural language processing",Medium,Part-of-Speech Tagging Using Hidden Markov Models in Computational Linguistics; Action Recognition Network from Video; Global Sequence Alignment Framework (Needleman-Wunsch); Sequential Recommendation Model for Next-Item Prediction,4,3.15; 3.16; 3.0; 3.1
STU-0024,Cybersecurity,4,2.52,2.54,"C, Linux, Python","Snort, TCPDump, Wireshark, Scapy","network security, incident response, penetration testing",Easy,Web Application Firewall Development for Attack Prevention; Automatic Threat Remediation Framework; Functional Safety Assessment Platform; Process Baseline Learning Algorithm,4,2.48; 2.54; 2.77; 2.6
STU-0025,Information Technology,3,2.53,2.39,"Go, Bash, Python","Terraform, Jenkins, Ansible, Pulumi","infrastructure automation, system administration, containerization",Easy,Sharding Strategy for Data Partitioning; Password Policy Enforcement for Security Compliance; Service Discovery Framework for Dynamic Service Registration; Platform Security Policy Enforcement,4,2.42; 2.07; 2.38; 2.78
STU-0026,Software Engineering,4,2.74,2.29,"Python, Java, C#, JavaScript","Kubernetes, Git, React, Spring Boot, Shopify","software architecture, e-commerce, microservices",Medium,Threat Intelligence Automation and Sharing; Infrastructure Cost Optimization and Billing System; Log Parsing and Analysis Tool for Log Mining; Secrets Detection and Remediation System; Real-Time Data Synchronization for Cloud Integration; API Documentation Generator with Examples,6,2.68; 2.94; 2.74; 2.22; 3.1; 2.58
STU-0027,Software Engineering,4,2.99,3.53,"Python, Java, CSS","React, Pytest, Jest, Selenium, Vue.js, Git, Docker","UI/UX design, testing, game development",Easy,Mixed Reality Integration for MR Applications; Regression Testing Suite for Change Validation; Game Physics Engine for Realistic Motion Simulation; Data Sync Framework for Data Synchronization,4,2.64; 3.15; 2.84; 2.96
STU-0028,Information Systems,3,2.87,2.96,"Java, SQL, JavaScript","Excel, Pandas, React, Tableau","retail systems, data analytics, decision support",Easy,Customer Behavior Prediction Model for Shopping Patterns; Purchase Order System for Procurement Process; OLAP Cube Construction for Multi-Dimensional Analysis,3,2.26; 2.39; 2.93
STU-0029,Cybersecurity,3,2.01,1.89,"Assembly, C, Linux","Wireshark, Linux, PyCryptodome, IDA Pro, PEfile, Metasploit, YARA","malware analysis, cryptography, penetration testing",Easy,Fuzzing Engine for Vulnerability Discovery; Zero-Day Threat Prediction Model; Rootkit Detection Framework for Kernel-Level Malware Identification; False Positive Reduction Framework,4,2.2; 1.79; 2.59; 2.24
STU-0030,Software Engineering,3,2.5,2.62,"Go, CSS, JavaScript, Python","Postman, Swagger, Git, React","API development, progressive web apps, testing",Easy,Code Coverage Analysis Framework for Test Coverage Metrics; Code Clone Detection System for Duplicate Code; Singleton Pattern with Thread Safety,3,2.47; 2.1; 2.69
STU-0031,Information Systems,3,3.2,3.14,"Java, SQL, JavaScript, Python","Excel, React, Tableau, Salesforce, Node.js, Dynamics CRM","retail systems, customer relationship management",Medium,Product Performance Analytics for Portfolio Optimization; Performance Measurement Framework for Government,2,3.11; 3.57
STU-0032,Computer Science,3,2.9,2.94,Python,"PyTorch, CUDA, Git, NumPy, OpenAI Gym","deep learning, reinforcement learning, recommendation systems",Easy,Multi-Head Attention Framework for Parallel Processing in Transformer Models; Energy-Based Model for Unsupervised Learning; Attention-Based Translation Model for Sequence Alignment in Neural Networks; Gradient Boosting Framework for Predictive Analytics in Business Intelligence; AI Model Extraction Attack Protection,5,3.07; 3.01; 2.87; 2.79; 2.65
STU-0033,Computer Science,3,3.95,3.71,Python,"PyTorch, CUDA, Git, OpenAI Gym","generative ai, reinforcement learning, graph algorithms",Easy,Quantum Algorithm Simulator for Quantum Computing; Global Illumination Algorithm Implementation,2,4.11; 4.0
STU-0034,Computer Science,3,3.04,3.42,"Java, C++, Python","Git, NumPy, Surprise, Scikit-learn, Linux","algorithms, recommendation systems, deep learning",Medium,Neuromorphic Hardware Programming; Open Reading Frame (ORF) Detection Algorithm; Polyglot Persistence Architecture for Multi-Database Systems,3,2.75; 3.21; 3.47
STU-0035,Information Technology,3,3.22,3.2,"Python, C, Bash","PostgreSQL, Azure Blob, Docker, Linux, Ceph","database administration, storage systems, infrastructure automation",Easy,Cloud Function Deployment and Management; Infrastructure Rollback Automation for Failed Deployments,2,3.55; 3.37
STU-0036,Cybersecurity,4,2.47,2.6,"Java, Linux, Python","PyTorch, Keycloak, Git, LDAP, Wireshark, Docker","AI security, access control",Easy,AI Model Extraction Attack Protection; Rootkit Detection Framework for Kernel-Level Malware Identification; Deep Learning Model for Malware Classification; Anomaly Detection for IoT Systems for Threat Detection,4,2.43; 2.44; 2.72; 1.9
STU-0037,Software Engineering,4,1.98,1.91,"Python, Java, Go","Kubernetes, Terraform, Pytest, Jenkins","devops, testing, API development",Easy,StatefulSet Management for Persistent Applications; Service-Level Objective (SLO) Tracking Framework; Multi-Channel Notification Hub for Omnichannel Delivery; Broadcast System for Mass Messaging,4,1.83; 2.22; 2.19; 2.17
STU-0038,Software Engineering,3,2.36,2.58,"Java, Go, JavaScript, Python","Terraform, Pytest, GCP, Jest","testing, cloud computing, web development",Medium,Hybrid Cloud Infrastructure Design for On-Premise Integration; Sustainable API Design Framework; Cloud Backup and Disaster Recovery Solution; Continuous Integration Server Setup for Automated Testing,4,2.17; 2.48; 1.97; 1.58
STU-0039,Computer Science,3,2.29,2.36,Python,"Git, NumPy, Linux, Cirq, Qiskit, Jupyter, Keras","quantum computing, machine learning, generative ai",Easy,Hybrid Quantum-Classical System for Mixed Processing; VGG Network for Medical Image Analysis and Healthcare Informatics,2,2.37; 2.44
STU-0040,Cybersecurity,3,2.64,2.77,"Assembly, C, Linux, Python","Wireshark, Linux, Scapy, Embedded Systems, PEfile","IoT security, malware analysis, penetration testing",Easy,File Encryption Tool for File Protection; Control Mapping Framework for Control Documentation; Robust Principal Component Analysis for Anomaly Identification; Sustainability Tracker for Carbon Tracking,4,3.25; 3.1; 2.56; 2.86
STU-0041,Information Systems,4,3.04,3.44,"Java, Python, SQL","Excel, Pandas, SAP, Tableau","enterprise resource planning, supply chain, e-government",Medium,Expense Analysis Framework for Cost Reduction; Personalized Offer Engine for Targeted Promotions,2,3.08; 2.81
STU-0042,Software Engineering,3,3.26,3.33,"Go, JavaScript, Python","Postman, Swagger, Git, Jest","API development, testing, microservices",Easy,Exploit Development Framework for Proof-of-Concept Creation; Repository Pattern Implementation for Data Access; Quality Control Analytics for Defect Detection; Refactoring Recommendation System for Code Improvement,4,2.78; 3.61; 3.91; 3.9
STU-0043,Cybersecurity,4,3.25,3.59,"SQL, Linux, Python","Excel, Pandas, SOAR, Reporting","compliance, incident response, cloud security",Easy,l-Diversity Model for Privacy Protection; Configuration Vulnerability Scanner for Weak Settings,2,3.63; 3.39
STU-0044,Information Systems,3,3.49,3.78,"Java, SQL, JavaScript","Excel, Tableau, Salesforce, CRM Platforms, Dynamics CRM, SQL Server, SQL","customer relationship management, business intelligence, healthcare systems",Easy,Geographic Information System Visualization for Mapping,1,2.66
STU-0045,Cybersecurity,3,3.65,4.09,"C, Linux, Python","Snort, TCPDump, Wireshark, Scapy, Linux, Nmap","network security, IoT security, cloud security",Easy,System Call Sequence Analysis for Anomaly Detection in Host Monitoring; Green IT Certification Tracking; Green Computing Policy Implementation; Session Management for User Session Control; Breach Prediction Model for Risk Assessment; Attribute-Based Access Control (ABAC) System,6,2.72; 3.52; 3.38; 4.55; 3.13; 4.13
STU-0046,Software Engineering,3,3.18,3.1,"Python, Java, CSS, HTML, JavaScript","Android SDK, iOS SDK, React, Android Studio, Figma, Xcode","UI/UX design, mobile development",Medium,Feedback Collector for Opinion Collection; Workbox Library Implementation for Caching,2,3.86; 3.14
STU-0047,Information Technology,3,2.71,3.0,"Go, C++, Bash, Python","Kubernetes, TensorFlow Lite, Docker, Linux","edge computing, monitoring, cloud infrastructure",Easy,Web Vitals Monitoring Framework; Network Traffic Optimization Framework for Bandwidth Management; Disk Space Analyzer for Storage Analysis,3,2.86; 3.66; 3.13
STU-0048,Information Systems,4,2.03,2.24,"Python, JavaScript, SQL","Excel, Pandas, Spring Boot, Tableau, SQL Server","business intelligence, e-government",Medium,Payment Gateway Integration Framework; Traffic Management and Control System; Machine Maintenance Scheduling System,3,2.16; 2.54; 2.18
STU-0049,Computer Science,4,3.38,3.65,"Java, C++, Python","Git, Linux, Jupyter, Cirq, SciPy","algorithms, quantum computing, reinforcement learning",Medium,Multi-Omics Integration Platform; Fully Convolutional Network for Semantic Segmentation in Pixel-Level Classification; Animation Engine for Sprite and Model Animation,3,3.47; 3.33; 3.25
STU-0050,Information Systems,4,2.31,2.49,"Java, Python, SQL","Excel, FHIR, SAP, HL7, Tableau","enterprise resource planning, healthcare systems",Easy,Capacity Planning Framework for Resource Management; Public Transport Planning Platform,2,1.88; 1.89
STU-0051,Information Systems,3,2.27,2.37,"Python, Java, SQL, JavaScript, R","Excel, Pandas, React, Spring Boot, Cloud Platforms","e-government, data analytics",Easy,Quality Control Automation Framework,1,2.5
STU-0052,Information Systems,4,3.84,3.68,"Java, SQL, JavaScript, Python","Excel, React, FHIR, Spring Boot, HL7","e-government, healthcare systems",Medium,Procurement Management Module for Purchase Order Processing; Customer Win-Back Campaign Analysis System,2,3.77; 3.65
STU-0053,Software Engineering,3,3.09,3.69,"Python, Java, Kotlin","Android SDK, iOS SDK, Git, Selenium, Jest, React Native, Android Studio","mobile development, testing",Medium,Calculator Application for Mathematical Operations; SMS Service Integration for Text Messaging; Real-Time Data Synchronization for Cloud Integration,3,3.04; 2.62; 2.39
STU-0054,Information Systems,4,2.63,2.7,"SQL, R, Python","Excel, Pandas, Scikit-learn, SAP, Tableau, ERP Systems","decision support, enterprise resource planning, data warehouse",Easy,Non-Conformance Tracking and Resolution; Legal Case Management System,2,2.52; 2.66
STU-0055,Computer Science,3,2.69,3.01,"Java, Python","PyTorch, CUDA, Git, NumPy, Docker, Jupyter, Linux","neural networks, algorithms",Easy,Part-of-Speech Tagging Using Hidden Markov Models in Computational Linguistics; Ordinal Regression System for Ordered Category Prediction; Meta-Learning Framework for Few-Shot Learning in Computer Vision,3,3.03; 2.72; 2.18
STU-0056,Cybersecurity,3,2.55,2.04,"Assembly, C, Linux, Python","Wireshark, Linux, Docker, IDA Pro, PEfile","malware analysis, cloud security, incident response",Medium,Cloud Backup and Disaster Recovery Solution; Log File Analysis Framework for Threat Detection and Incident Forensics; Cloud Access Security Broker for CASB Functionality,3,2.34; 2.9; 2.45
STU-0057,Cybersecurity,4,2.1,2.1,"Java, C, Linux","LDAP, Active Directory, Scapy, Linux, Wireshark","IoT security, access control",Easy,Network Forensics Platform for Traffic Analysis,1,2.02
STU-0058,Computer Science,4,2.97,2.56,"R, Python","PyTorch, Pandas, Git, Scikit-learn, NumPy, Linux, Docker","data mining, deep learning, machine learning",Medium,Bidirectional LSTM for Contextual Sequence Processing in Natural Language Tasks; Stacking Ensemble Learning for Improved Model Performance; Named Entity Recognition Using Conditional Random Fields for Sequence Labeling; Transfer Learning Architecture for Domain-Specific Classification and Fine-Tuning; Disease Progression Prediction Model,5,2.9; 2.96; 2.84; 3.04; 2.89
STU-0059,Information Systems,4,3.11,2.88,"Java, Python, SQL","Excel, SAP, Tableau, Power BI, Oracle ERP","enterprise resource planning, business intelligence, e-government",Medium,Star Schema Optimization for Query Performance; Price Elasticity Analysis for Pricing Strategy; Public Finance Transparency Dashboard,3,3.45; 3.21; 2.92
STU-0060,Cybersecurity,3,3.17,3.2,"SQL, Linux, Python","Excel, Elasticsearch, MISP, Wireshark, Linux, OpenCTI","threat intelligence, compliance, cryptography",Easy,Indicator of Compromise (IOC) Correlation Engine for Pattern Detection; Online Transaction Anomaly Detector for E-Commerce Platforms; NIST Cybersecurity Framework Implementation for OT,3,2.94; 2.5; 3.58
STU-0061,Information Systems,3,3.28,3.56,"Java, Python, SQL","Excel, SAP, Tableau, Node.js, ERP Systems, Oracle ERP","enterprise resource planning, retail systems, supply chain",Easy,Quality Management System Framework for Process Improvement,1,3.14
STU-0062,Software Engineering,4,3.3,3.45,"Python, Java, Kotlin, Dart","Android SDK, iOS SDK, Git, Django, Android Studio, React Native, Docker, Xcode","mobile development, e-commerce",Easy,Component Library Development for Reusability; Color Accessibility Validation Tool; Member Directory for Member Listing; Event Bus for Event Distribution; Product Search and Filtering System,5,3.28; 3.4; 3.07; 3.23; 4.16
STU-0063,Information Systems,4,1.97,1.3,"SQL, R, Python","Excel, Pandas, Apache Atlas, Scikit-learn","decision support, data governance, business process management",Medium,Customer Win-Back Campaign Analysis System,1,1.68
STU-0064,Information Systems,4,3.06,3.37,"Java, SQL, JavaScript","Excel, React, Tableau, Salesforce, CRM Platforms, Dynamics CRM","customer relationship management, e-government, business intelligence",Medium,Form Builder Framework for Form Creation; Feature Selection Algorithm Using Mutual Information and Entropy; Competitive Intelligence Aggregation Platform; Real-Time Visualization Framework for Live Dashboards; Asset Tracking System for Resource Management; Production Yield Optimization Framework,6,2.65; 2.18; 2.97; 3.32; 2.67; 3.41
STU-0065,Information Systems,3,2.42,2.71,"Java, Python, SQL","Excel, SAP, Tableau, ERP Systems, SQL","enterprise resource planning, business intelligence",Easy,ARIMA Model for Time Series Forecasting and Prediction; Gene Expression Analysis Framework; Asset Management System Implementation for Resource Tracking,3,2.21; 1.96; 2.78
STU-0066,Computer Science,4,4.55,4.41,Python,"PyTorch, CUDA, Pandas, Git, NumPy","deep learning, recommendation systems",Hard,Deep Learning Model for Malware Classification; Normalize Attention Module for Feature Recalibration; Game State Manager for Game Logic,3,4.65; 5.0; 3.94
STU-0067,Cybersecurity,3,1.91,2.23,"SQL, Linux, Python","PyTorch, Excel, Pandas, Git, Reporting, Docker","compliance, AI security",Medium,Local Outlier Factor Algorithm for Point Anomalies in Density Analysis; Machine Learning Model for Intrusion Prediction; User and Entity Behavior Analytics (UEBA) System Implementation; Anomaly-Based Intrusion Detection Framework Using Machine Learning Techniques; Privileged Access Management (PAM) Platform,5,1.48; 2.48; 2.28; 1.69; 2.02
STU-0068,Information Technology,4,2.35,2.46,"Go, C, Bash, Python","Kubernetes, Helm, Podman, Azure Blob, Docker, Linux, MinIO","containerization, storage systems, infrastructure automation",Medium,Cache Coherence Protocol Implementation; Blue-Green Deployment Strategy for Zero-Downtime Releases; GraphQL Implementation for Flexible API Querying; Developer Self-Service Portal Development; Message Broker Configuration for Multi-Protocol Support,5,1.77; 2.36; 2.15; 2.27; 2.28
STU-0069,Computer Science,4,2.96,2.96,"C++, Python","Git, Graph-tool, Linux, Jupyter, Neo4j, NLTK, Transformers","graph algorithms, natural language processing, machine learning",Medium,Fashion Trend Analysis System; Self-Attention Clustering Network for Unsupervised Segmentation; Facial Landmark Detection Framework,3,3.21; 2.78; 3.05
STU-0070,Cybersecurity,4,2.98,3.13,"Bash, Linux, Python","Kubernetes, Azure SDK, Terraform, SOAR, AWS","cloud security, incident response, AI security",Easy,Cloud Migration Assessment Framework; Mitigation Planning System for Risk Mitigation; Continuous Authentication System for Session Security,3,2.87; 3.11; 2.95
STU-0071,Information Technology,3,2.71,2.61,"C, Bash, Python","Wireshark, Scapy, Netmiko, Docker, Linux","networking, storage systems",Medium,Cloud Networking Architecture for Secure Communication; Patch Management System for Security Updates; Virtual Machine Resource Allocation and Optimization; Infrastructure Provisioning Automation Framework; Disaster Recovery System for Business Continuity,5,2.86; 3.16; 2.45; 2.79; 3.06
STU-0072,Computer Science,4,1.91,1.86,"C++, Python","Git, Graph-tool, OpenAI Gym, Docker, Neo4j","graph algorithms, reinforcement learning",Medium,Graph Isomorphism Network for Relational Data; Report Generator for Document Generation; GPS and Location-Based Services Platform,3,2.49; 1.91; 2.33
STU-0073,Information Technology,3,3.1,3.23,"Bash, Python","Kubernetes, Hyper-V, Jenkins, KVM, Pulumi","virtualization, infrastructure automation",Medium,Parallel Query Execution Framework; System Backup and Recovery Solution for Data Protection,2,3.34; 2.72
STU-0074,Software Engineering,4,2.87,2.61,"Java, Go, JavaScript, Python","Postman, Swagger, Git, Flask, Docker","API development, testing, UI/UX design",Easy,Quick Shopping List for Grocery Lists; Statistical Anomaly Detection Framework for Cybersecurity Applications; Stress Testing Framework for System Reliability,3,3.11; 2.36; 3.15
STU-0075,Computer Science,4,3.15,3.31,"R, Python","Pandas, Git, Biopython, NumPy, Linux, Neo4j, NetworkX","bioinformatics, graph algorithms, generative ai",Easy,Masked Language Model Pre-training Framework; Frame Interpolation Network for Smooth Video; Neuromorphic Computing Framework for Brain-Inspired Computing; Protein-Protein Interaction Prediction,4,3.1; 3.46; 2.64; 3.02
STU-0076,Computer Science,4,2.72,2.89,Python,"PyTorch, CUDA, Pandas, Git, Docker, Linux","generative ai, recommendation systems, reinforcement learning",Medium,Density-Based Spatial Clustering for Geographic Data and Location Analytics; Active Learning System for Efficient Data Annotation and Labeling; Meta-Reinforcement Learning Framework for Fast Learning; Exponential Smoothing Technique for Demand Forecasting in Supply Chain Management; Protein Fold Recognition System; Data Augmentation Techniques for Training Robustness in Deep Learning Systems,6,2.67; 2.89; 2.58; 2.99; 2.88; 2.81
STU-0077,Software Engineering,4,3.46,3.43,"Go, CSS, JavaScript, Python","Postman, Swagger, Webpack, Git","API development, progressive web apps, web development",Easy,Offline-First Mobile Application for Disconnected Operation; Bulkhead Pattern for Isolation,2,3.16; 2.9
STU-0078,Cybersecurity,3,3.31,3.46,"Assembly, C, Linux","Wireshark, Modbus, Linux, PEfile, SCADA, DNP3, YARA","operational technology security, malware analysis, penetration testing",Medium,Manufacturing Plant Security Framework,1,3.63
STU-0079,Software Engineering,4,2.92,2.84,"Python, Java, CSS, HTML, JavaScript","Git, React, Spring Boot, Vue.js, RabbitMQ","UI/UX design, microservices, devops",Easy,Cloud Backup and Disaster Recovery Solution; Blog Platform with Comments System for Content Publishing; Bulkhead Pattern for Isolation; Configuration File Manager for Config Management,4,3.27; 3.0; 2.66; 2.85
STU-0080,Software Engineering,3,3.22,3.18,"Java, CSS, JavaScript, Python","React, Pytest, Jest, Selenium","testing, progressive web apps, game development",Easy,Patient Risk Stratification Model for Clinical Decision Support; XR Content Management for XR Content,2,2.23; 3.03
STU-0081,Information Systems,3,3.55,3.31,"Java, SQL, Python","Excel, Pandas, Visualization Tools, Tableau, ERP Systems, SQL, Camunda","supply chain, business process management, e-government",Easy,Government Asset Management System; Customer Queue Management System for Checkout,2,4.33; 3.21
STU-0082,Software Engineering,4,2.6,2.59,"Python, Java, C++","Kubernetes, Git, Django, Blender, Unreal Engine, Unity, Docker","game development, software architecture, UI/UX design",Easy,Review Platform for Review Publishing; Alarm Clock Application for Wake-Up Management; Inclusive Component Library,3,2.63; 2.34; 2.71
STU-0083,Information Systems,3,2.43,2.25,"SQL, R, Python","Excel, Pandas, Scikit-learn, NumPy","decision support, data analytics",Easy,Asset Management System Implementation for Resource Tracking; Government Budget Planning and Execution,2,2.52; 2.53
STU-0084,Information Technology,3,2.93,2.31,"C, Bash, Python","Hyper-V, KVM, Netmiko, Docker, Scapy, Wireshark, Linux","networking, virtualization, infrastructure automation",Easy,Software Defined Networking (SDN) Controller Implementation; Cloud Networking Architecture for Secure Communication; Master Data Hub Implementation for Data Consistency; Supply Chain Sustainability Assessment,4,3.15; 2.84; 3.11; 3.27
STU-0085,Information Systems,4,2.9,2.28,"Java, SQL, JavaScript, Python","Excel, SAP, Tableau, Salesforce, Dynamics CRM","customer relationship management, enterprise resource planning, retail systems",Medium,Business Intelligence Strategy Formulation System; Product Review and Rating System; Cart Abandonment Recovery System,3,2.9; 3.48; 3.3
STU-0086,Software Engineering,3,3.13,2.93,"Python, Java, C#, SQL","Kubernetes, Git, Spring Boot, SAP","enterprise systems, database design",Medium,Database Caching Strategy Optimization; Database Caching Strategy Optimization; Database Indexing Strategy for Query Acceleration; PDF Viewer for PDF Document Viewing; Mutation Testing Framework for Test Effectiveness,5,2.78; 3.38; 2.84; 3.0; 3.29
STU-0087,Computer Science,3,2.93,3.31,"R, Python","Docker, Pandas, Git, Biopython","recommendation systems, bioinformatics",Easy,Neuromorphic Computing Framework for Brain-Inspired Computing; Branch and Bound Algorithm for Integer Programming; Multi-Class Text Categorization with Support Vector Machines for Document Clustering,3,2.95; 2.92; 2.91
